Biračko mjesto:,municipality_ID,party,values
001A007B,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A007B,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,1
001A007B,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A007B,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,4
001A007B,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A007B,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,15
001A007B,001,PARTIJA PRAVOG PUTA,0
001A007B,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,3
001A007B,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A007B,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A008A,001,BPS - SEFER HALILOVIĆ,1
001A008A,001,STRANKA ZA BOSNU I HERCEGOVINU,13
001A008A,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,41
001A008A,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A008A,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,183
001A008A,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A008A,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
001A008A,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A008A,001,SDA - STRANKA DEMOKRATSKE AKCIJE,56
001A008A,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A008A,001,NARODNA STRANKA RADOM ZA BOLJITAK,31
001A008A,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,1
001A008A,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,1
001A008A,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A008A,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A008A,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,8
001A008A,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A008A,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,7
001A008A,001,PARTIJA PRAVOG PUTA,0
001A008A,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0
001A008A,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A008A,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A008B,001,BPS - SEFER HALILOVIĆ,2
001A008B,001,STRANKA ZA BOSNU I HERCEGOVINU,8
001A008B,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,31
001A008B,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A008B,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,138
001A008B,001,DEMOKRATSKA STRANKA INVALIDA BIH,1
001A008B,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
001A008B,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A008B,001,SDA - STRANKA DEMOKRATSKE AKCIJE,52
001A008B,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A008B,001,NARODNA STRANKA RADOM ZA BOLJITAK,65
001A008B,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,3
001A008B,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A008B,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,1
001A008B,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
