Biračko mjesto:,municipality_ID,party,votes
007B004,007,SDA - STRANKA DEMOKRATSKE AKCIJE,80.0
007B004,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,26.0
007B004,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,7.0
007B004,007,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B004,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,71.0
007B004,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,0.0
007B004,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,2.0
007B004,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
007B004,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,2.0
007B004,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,0.0
007B004,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,10.0
007B004,007,СРПСКА НАПРЕДНА СТРАНКА,2.0
007B004,007,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,6.0
007B004,007,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,3.0
007B004,007,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B004,007,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B005,007,STRANKA ZA BOSNU I HERCEGOVINU,23.0
007B005,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,48.0
007B005,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,21.0
007B005,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,51.0
007B005,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,2.0
007B005,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,1.0
007B005,007,SDA - STRANKA DEMOKRATSKE AKCIJE,55.0
007B005,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,39.0
007B005,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,30.0
007B005,007,NARODNA STRANKA RADOM ZA BOLJITAK,3.0
007B005,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,112.0
007B005,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,7.0
007B005,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,2.0
007B005,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,2.0
007B005,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,1.0
007B005,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,2.0
007B005,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,11.0
007B005,007,СРПСКА НАПРЕДНА СТРАНКА,1.0
007B005,007,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,7.0
007B005,007,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,7.0
007B005,007,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B005,007,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B006,007,STRANKA ZA BOSNU I HERCEGOVINU,15.0
007B006,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,31.0
007B006,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,8.0
007B006,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,54.0
007B006,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
007B006,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
007B006,007,SDA - STRANKA DEMOKRATSKE AKCIJE,59.0
007B006,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,28.0
007B006,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,44.0
007B006,007,NARODNA STRANKA RADOM ZA BOLJITAK,2.0
007B006,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,94.0
007B006,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,3.0
007B006,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,6.0
007B006,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
007B006,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,2.0
007B006,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,0.0
007B006,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,16.0
007B006,007,СРПСКА НАПРЕДНА СТРАНКА,2.0
007B006,007,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,2.0
007B006,007,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,8.0
007B006,007,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B006,007,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B007,007,STRANKA ZA BOSNU I HERCEGOVINU,2.0
007B007,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,2.0
007B007,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,65.0
007B007,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,138.0
007B007,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
